Author's description,Publication date,Author,geology,plants,Latitude,Longitude,Latitude,Longitude,Location (State),"Institution (University of New South Wales, University of Wollongong)",Age estimate,STDEV,RADIOCARBON LAB.,,TYPE OF ANALYSIS,MATERIAL ANALYSED,MATERIAL ANALYSED,DELTA13 CORRECTION (if known),PHYSICAL PRETREATMENT,CHEMICAL PRETREATMENT,POSITION,Builder,
USA127,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-610,40,OZA973U,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",M,,
CHC119,1997,Pearson,,5,"27 53' 08""","134 19'02""",134.317222,-27.885556,Copper Hills (SA),UNSW,-1120,50,OZA974,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",T,,
CHC42,1997,Pearson,,5,"27 53' 08""","134 19'02""",134.317222,-27.885556,Copper Hills (SA),UNSW,-1610,50,OZA975U,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",B,,
CHB15,1997,Pearson,,5,"27 53' 08""","134 19'02""",134.317222,-27.885556,Copper Hills (SA),UNSW,-1430,50,OZA976,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",B,,
CHB41,1997,Pearson,,5,"27 53' 08""","134 19'02""",134.317222,-27.885556,Copper Hills (SA),UNSW,-700,95,OZA977,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",T,,
CHA14,1997,Pearson,,5,"27 53' 08""","134 19'02""",134.317222,-27.885556,Copper Hills (SA),UNSW,-1820,40,OZA978U,1,AMS,STICK,STICK,-25,"Soil & dust removed, sample milled and sieved, fragments larger than 0.5mm retained for dating","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",B,,
CHA42,1997,Pearson,,5,"27 53' 08""","134 19'02""",134.317222,-27.885556,Copper Hills (SA),UNSW,-510,70,OZA979U,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",T,,
CRA9,1997,Pearson,,6,23 30' ,134 30',134.5,-23.5,Cavenagh Range (WA),UNSW,-2400,290,OZA980,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",A,,
GRD12,1997,Pearson,,7,"26 57'11""","133 29'55""",133.498611,-26.953056,Granite Downs (SA),UNSW,-430,35,OZB164,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",A,,
USL7,1997,Pearson,,ag,"25 49'48""","134 11'54""",134.198333,-25.83,Umbeara Station (NT),UNSW,-360,75,OZB165,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",A,,
CAA04,1997,Pearson,,4,"26 09'30""","127 54'48""",127.913333,-26.158333,Corroboree Rock (NT),UNSW,-3430,50,OZB168U,1,AMS,AMBERAT,AMBERAT,-25,,,A,,
MO1,1993,Pearson & Dodson,,ab,30 30',119 40',119.6666667,-30.5,Bungalbin Hill (WA),UNSW,-1480,140,BETA-30954,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,-25,,,A,,
M0505,1993,Pearson & Dodson,,ac,25 03',124 59',124.983333,-25.05,"Young Range, Gibson Desert (WA)",UNSW,-710,80,BETA-30955,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,-25,,,B,,
M06,1993,Pearson & Dodson,,ac,25 03',124 59',124.983333,-25.05,"Young Range, Gibson Desert (WA)",UNSW,-1150,100,BETA-30956,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,-25,,,B,,
M07,1993,Pearson & Dodson,,ac,25 03',124 59',124.983333,-25.05,"Young Range, Gibson Desert (WA)",UNSW,-900,90,BETA-30957,,Conventional,SCAT,SCAT,-25,,,M,,
M07,1993,Pearson & Dodson,,ac,25 03',124 59',124.983333,-25.05,"Young Range, Gibson Desert (WA)",UNSW,-300,90,BETA-30958,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,-25,,,T,,
M05170b,1993,Pearson & Dodson,,ac,25 03',124 59',124.983333,-25.05,"Young Range, Gibson Desert (WA)",UNSW,-800,80,BETA-68230,,Conventional,PLANT FRAGMENTS,PLANT FRAGMENTS,-25,,,A,,
M0652,1993,Pearson & Dodson,,ac,25 03',124 59',124.983333,-25.05,"Young Range, Gibson Desert (WA)",UNSW,-900,45,OZA167U,1,AMS,SCAT,SCAT,-25,,,A,,
M0236,1993,Pearson & Dodson,,ab, 30 30' ,119 40',119.666667,-30.5,Bungalbin Hill (WA),UNSW,-340,55,OZB166,1,AMS,SCAT,SCAT,-25,"Crushed, sieved particles greater than 0.2mm retained. For larger samples fibrous materials removed for dating.  For smaller samples all sieve material used.","AAA treatment: 2M HCl at 60oC for 5 hours then room temperature for 15 hours, 2% NaOH at 60oC for 5 hours then room temperature for 15 hours, 2M HCl at 60oC for 5 hours then washed in deionised water.",B,,
