"_vname_","_label_","_x_","_yhat_","_ids_","variable"
"bio12","data.frame",1590.01154785156,0.00260065738471232,0,"bio12"
"bio12","data.frame",1654.98374511719,0.00260064708198054,0,"bio12"
"bio12","data.frame",1716.37901855469,0.00260064284427443,0,"bio12"
"bio12","data.frame",1763.70349121094,0.00260064126019686,0,"bio12"
"bio12","data.frame",1786.72067382812,0.00260064078030704,0,"bio12"
"bio12","data.frame",1888.81484863281,0.00260063977535533,0,"bio12"
"bio12","data.frame",1983.18703613281,0.0026006395218749,0,"bio12"
"bio12","data.frame",2071.39851074219,0.00260063945086985,0,"bio12"
"bio12","data.frame",2193.82729492187,0.00260063942483423,0,"bio12"
"bio12","data.frame",2343.62944335938,0.00260063941921024,0,"bio12"
"bio12","data.frame",2373.47354492188,0.00260063941891316,0,"bio12"
