trace,Identifier,Species,LAT,LONG,location,Site Description,Collector,year,month,GPS,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes & Jones (1993),Leporillus apicalis,113.983,-22.183,Cape Range,"Roost Cave, Cape Range",C-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes & Jones (1993),Leporillus apicalis,114,-22.217,Cape Range,"Unnamed cave, Cape Range",C-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes & Jones (1993),Leporillus apicalis,114,-22.133,Cape Range,Cave C-299,C–299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes & Jones (1993),Leporillus apicalis,114.033,-22.017,Cape Range,Cave C-251,C–251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes et al. (2019),Leporillus apicalis,114.0958,-21.9969,Cape Range,Cave C-599,C–599,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,114.283,-25.983,Yaringa lookout,Bluffs,,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,114.283,-25.983000,Bluffs near Yaringa Homestead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (1979),Leporillus apicalis,115.0914,-30.0853, northern Swan Coastal Plain,"Hastings Cave, Jurien",B.1.00(1),,,WGS 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Monks (2018),Leporillus apicalis,115.133,-29.817,northern Swan Coastal Plain,Yellabidde Cave,,,,V rough estimate!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,115.1439,-25.3542,Winderie Station,Breakaway,Wi,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,115.15,-25.350000,Breakaway on Winderie Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,115.35,-24.750000,Mesa near Table Top Well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,115.355,-24.7633,"Tabletop Well, Gascoyne",Mesa,TT 1/2,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,115.583,-29.083,Merkanooka Station,Rockshelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,115.583,-29.083000,Rockshelter on Merkanooka Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,115.617,-28.117000,Tallering Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2003),Leporillus apicalis,115.6197,-28.1169,Yalgoo IBRA Region,Tallering Hill,115,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2003),Leporillus apicalis,115.6589,-28.0942,Yalgoo IBRA Region,Tallering 'gorge',162,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,116.283,-27.467000,Breakaways on Murgoo Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,116.433,-27.367,Murgoo Station,Breakaways,,,,WAM catalogue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,116.767,-29.2,Karara Station,Breakaway behind arch,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,116.767,-29.200000,Karara Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2003),Leporillus apicalis,116.9583,-28.7344,Yalgoo IBRA Region,Gnows Nest Range,163,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,117.15,-23.567000,Small breakaway SE of Mt Elephant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,117.183,-28.133000,Narring Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,117.1847,-28.1333,Narring Range,Breakaway,,,,Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes2002,Leporillus apicalis,117.25,-29.567000,Beanthiny Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2003),Leporillus apicalis,117.2589,-29.5775,Mt Gibson Station,Beanthiny Hill,BH,,,WGS 84,The nest was partly dismantled to find the Leporillus remains inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2003),Leporillus apicalis,117.3278,-29.0583,Yalgoo IBRA Region,Pinyalling Range,161,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2003),Leporillus apicalis,117.3814,-29.7717,Mt Gibson Station,Red Hand Site,RHS,,,WGS 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2003),Leporillus apicalis,117.3844,-29.5661,Mt Gibson Station,Mesa cave 1,MC,,,WGS 84,Nest destroyed to obtain mammal remains in it (sorry!),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (2000),Leporillus apicalis,117.617,-23.55,Mt Elephant,Small breakaway to the south-east,112,,,Map,Alex thinks there is gum-bitumen adhering to the single specimen from this site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specimen,Baynes (1984),Leporillus apicalis,117.7,-26.917,Murchison,Wilgie Mia ochre mine,,,,,From archaeological excavation with uncalibrated 14C dates of 560±70 and 1100±90 BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
