"_vname_","_label_","_x_","_yhat_","_ids_","variable"
"bio12","data.frame",816.596740722656,0.00318438802333416,0,"bio12"
"bio12","data.frame",835.266303100586,0.00286660374544581,0,"bio12"
"bio12","data.frame",861.173903808594,0.00259282549154454,0,"bio12"
"bio12","data.frame",885.807251586914,0.00243960123119873,0,"bio12"
"bio12","data.frame",897.175675048828,0.00239102447703542,0,"bio12"
"bio12","data.frame",942.95905456543,0.00227677373504008,0,"bio12"
"bio12","data.frame",960.148256835938,0.00225433497281189,0,"bio12"
"bio12","data.frame",971.653728027344,0.00224300134286873,0,"bio12"
"bio12","data.frame",1004.61004150391,0.00222156471809282,0,"bio12"
"bio12","data.frame",1033.2645690918,0.00221130243218489,0,"bio12"
"bio12","data.frame",1053.19406738281,0.00220684989767562,0,"bio12"
"bio12","data.frame",1066.19847900391,0.00220473650120448,0,"bio12"
"bio12","data.frame",1080.68231445313,0.00220292481929288,0,"bio12"
"bio12","data.frame",1103.66733886719,0.00220090381859162,0,"bio12"
"bio12","data.frame",1116.82060058594,0.00220008854394873,0,"bio12"
"bio12","data.frame",1140.53122558594,0.00219904774352253,0,"bio12"
"bio12","data.frame",1186.24258300781,0.00219798696431055,0,"bio12"
"bio12","data.frame",1215.39126220703,0.00219766096283543,0,"bio12"
"bio12","data.frame",1235.89323242187,0.00219751879662759,0,"bio12"
"bio12","data.frame",1265.86342529297,0.00219738917913416,0,"bio12"
"bio12","data.frame",1281.07159423828,0.0021973467712013,0,"bio12"
"bio12","data.frame",1310.96392333984,0.00219729190351579,0,"bio12"
"bio12","data.frame",1338.80786132812,0.0021972624091091,0,"bio12"
"bio12","data.frame",1354.84768066406,0.00219725129244434,0,"bio12"
"bio12","data.frame",1382.87227294922,0.00219723840568263,0,"bio12"
"bio12","data.frame",1404.33334350586,0.00219723226510423,0,"bio12"
"bio12","data.frame",1415.14390625,0.0021972299995353,0,"bio12"
"bio12","data.frame",1454.33354492188,0.0021972247797403,0,"bio12"
"bio12","data.frame",1474.62583984375,0.00219722326823086,0,"bio12"
"bio12","data.frame",1517.64348388672,0.00219722147288494,0,"bio12"
"bio12","data.frame",1568.162109375,0.00219722059584425,0,"bio12"
"bio12","data.frame",1611.9595703125,0.00219722028803596,0,"bio12"
"bio12","data.frame",1660.38809570313,0.00219722014526581,0,"bio12"
"bio12","data.frame",1690.48871337891,0.0021972201040351,0,"bio12"
"bio12","data.frame",1762.62614746094,0.0021972200641313,0,"bio12"
"bio12","data.frame",1804.98649902344,0.00219722005660952,0,"bio12"
"bio12","data.frame",1869.52050048828,0.002197220052306,0,"bio12"
"bio12","data.frame",1946.1494934082,0.00219722005093198,0,"bio12"
"bio12","data.frame",2025.87750488281,0.00219722005060728,0,"bio12"
"bio12","data.frame",2229.30808349609,0.002197220050518,0,"bio12"
"bio12","data.frame",2345.1009765625,0.002197220050518,0,"bio12"
"bio12","data.frame",2363.39384521484,0.002197220050518,0,"bio12"
"bio12","data.frame",2420.39307617187,0.002197220050518,0,"bio12"
