Year (BP),Minimum,5th Percentile,Median,95th Percentile,Maximum,Area Mean
4610,-1.17795986599,-0.702668855455,-0.123410203722,0.770871912638,1.13732621935,-0.0481258649079
4600,-0.764304436578,-0.559033660889,-0.0685533311632,0.691764475505,0.933952162001,-0.0125360206736
4590,-0.742628648546,-0.59974861145,-0.116470675998,0.599097281562,0.948151482476,-0.0624625501416
4580,-0.592721557617,-0.452223392063,-0.0306787278917,0.701028416951,0.964140828451,0.0475309766255
4570,-0.900073072645,-0.571476126777,-0.117870669895,0.672974921332,1.07930603027,-0.0346154397119
4560,-0.869209120009,-0.440898623996,-0.0979842291938,1.03487007989,1.71080712212,0.0847342008384
4550,-0.835559590658,-0.542798750136,-0.0750818040636,1.06166059706,1.72706875271,0.0712158043161
4540,-0.852689276801,-0.463342395359,-0.0597011142307,1.16030007256,1.68949364556,0.0856437190441
4530,-0.740974595812,-0.474136462741,-0.082341088189,0.9986647288,1.53893568251,0.0414383436731
4520,-0.705614895291,-0.477533493042,-0.0477423773872,0.856217405531,1.52821960449,0.0459520237368
4510,-0.941020711263,-0.485911458333,0.0105777316623,0.872332043118,1.26222398546,0.100758531099
4500,-0.52866736518,-0.407370096842,-0.00387183295356,0.96319539388,1.24122738308,0.153255562359
4490,-0.689145406087,-0.560590226915,0.00910797119141,1.18312561035,1.66963077121,0.187033832684
4480,-0.716513909234,-0.62454381307,-0.020260365804,1.26817928738,1.91191304525,0.189475860544
4470,-0.7767610338,-0.534997058445,-0.0438093397352,1.05319352892,1.60644005669,0.134761365732
4460,-0.906831359863,-0.473845452203,-0.0368870205349,0.841735424466,0.992760043674,0.0833257641062
4450,-0.708938937717,-0.48092074924,0.00372119479709,0.814034050836,1.03936241998,0.089695708919
4440,-0.762741767036,-0.492336357964,0.0382932027181,0.641926744249,1.05502065023,0.061924852733
4430,-0.801334465875,-0.550973510742,-0.060456000434,0.679510557387,1.39291585286,-0.0108201966893
4420,-1.10933244493,-0.515312627157,-0.11005452474,0.60855345832,1.1274693807,-0.0614294687453
4410,-0.669048902724,-0.4597029029,-0.0731592814128,0.763110665215,1.48884429932,0.0288108057166
4400,-0.576038953993,-0.38095348782,0.15572297838,1.03536662632,1.46517249213,0.211143029951
4390,-0.570040893555,-0.37494114346,0.0946044074165,0.980337456597,1.20663113064,0.205064188292
4380,-1.01303931342,-0.441274091933,-0.0145579020182,0.678965454102,0.859283955892,0.0425407680912
4370,-0.716498819987,-0.582269736396,-0.0608602735731,0.591065402561,0.846078152127,-0.030457041796
4360,-0.658917575412,-0.489879396227,-0.0539377848307,0.876633961995,1.01652391222,0.0983977219985
4350,-0.653915405273,-0.388131018745,0.0121385362413,0.882888158162,0.999953375922,0.101116226532
4340,-1.08416290283,-0.531186438666,-0.00661485460069,0.761222924127,1.09576789008,0.0825964006885
4330,-1.2766708374,-0.518521694607,-0.0196253458659,0.945183207194,1.51467285156,0.0563929230084
4320,-1.00587988959,-0.342306755914,0.0399295383029,0.934521043566,1.55424499512,0.15818363523
4310,-0.466416931152,-0.241032104492,0.0538107130263,1.19703007168,1.79837375217,0.268834381075
4300,-0.604608662923,-0.456847449409,-0.0237067328559,1.10010202196,1.40679660373,0.164635268638
4290,-0.603182135688,-0.457943979899,-0.0596322801378,0.995769805908,1.37359585232,0.100134602687
4280,-1.19921417236,-0.559138158162,-0.119954427083,0.60712401496,0.870641072591,-0.0376864109576
4270,-1.02639906141,-0.54917690701,-0.0879573398166,0.415289874607,0.766899617513,-0.0663471686459
4260,-0.813143751356,-0.456444744534,-0.0648197597928,0.372244364421,0.44693874783,-0.0574130624913
4250,-0.897626919217,-0.593100670709,-0.0990172492133,0.294095416599,0.494751485189,-0.117165917209
4240,-0.747611999512,-0.534687610202,-0.0371448940701,0.568089675903,0.800491333008,-0.0246087292593
4230,-1.32125922309,-0.655221057468,-0.0710069444444,0.63381304423,0.976001993815,-0.0509254385478
4220,-1.02842576769,-0.653984298706,-0.00040571424697,0.851882400513,1.3463953654,0.0739296334844
4210,-0.804772779677,-0.615480380588,0.109901428223,0.938542251587,1.29396616618,0.181254902982
4200,-0.584120347765,-0.48462574429,0.214419386122,1.36406990899,1.76084153917,0.34240539279
4190,-0.64444088406,-0.397633455065,0.277032640245,1.55183679369,2.01957617866,0.435000005415
4180,-0.658614603678,-0.361259841919,0.202562120226,1.80758324517,2.27000545926,0.378579742068
4170,-0.56017727322,-0.408335232205,-0.0268104553223,1.29453943888,1.66234063043,0.162619775398
4160,-0.920418972439,-0.58019595676,-0.0240192837185,0.852679858738,1.05965033637,0.0347695301536
4150,-0.85549943712,-0.512666803996,0.0380733913845,0.839635128445,1.39669223362,0.11134948967
4140,-0.682868279351,-0.281113315158,0.0782780965169,0.97443906996,1.30215945774,0.175724461629
4130,-0.693043348524,-0.356315773858,0.0948460049099,1.01001587762,1.39392768012,0.186764410722
4120,-0.492179192437,-0.366086324056,0.0837948269314,1.02416049533,1.53088904487,0.165613008897
4110,-0.637083774143,-0.462461496989,-0.0338883294,0.771209615072,1.61743655735,0.045972704429
4100,-0.76203918457,-0.45600930108,-0.0177018059625,0.926992543538,1.4211183336,0.0715251806779
4090,-1.19955376519,-0.699617301093,-0.164276716444,0.269028617011,0.585224405924,-0.172597720021
4080,-0.847545030382,-0.541237589518,-0.0969796922472,0.562636591593,0.837444051107,-0.0210823548318
4070,-0.902249993218,-0.724130944146,-0.106434377035,0.658480529785,1.06779361301,-0.0457166051236
