row_id,species_std,record_type,source_file,source_sheet,identifier,location,site_description,age_estimate,radiocarbon_lab,lat,lon,coord_status,unresolved_reason
124,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
125,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
126,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
127,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
128,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
129,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
130,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
131,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
132,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
133,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
134,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
135,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
136,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
137,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
138,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
139,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
140,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
141,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
142,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.35,138.55,ok,NA
143,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-23.45,134.7,ok,NA
144,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-23.45,134.7,ok,NA
145,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-23.45,134.7,ok,NA
146,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-23.45,134.7,ok,NA
147,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-23.45,134.7,ok,NA
148,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-23.45,134.7,ok,NA
149,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.394929,138.856601,ok,NA
150,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.394929,138.856601,ok,NA
151,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-24.433333333333334,132.2,ok,NA
152,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-24.433333333333334,132.2,ok,NA
153,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-24.433333333333334,132.2,ok,NA
154,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-24.433333333333334,132.2,ok,NA
155,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.95,149.267,ok,NA
156,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-23.2666,134.39998,ok,NA
157,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-23.61664,134.33332,ok,NA
158,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-22,137.251667,ok,NA
159,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-22.0044444444444,137.320556,ok,NA
160,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-25.066671958656542,124.9999945289191,ok,NA
161,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-25.18333699740058,125.06665702887992,ok,NA
162,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-25.550001401957275,125.29721833570987,ok,NA
163,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-31.01666811270874,125.3333303540751,ok,NA
164,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-26.961112555242494,125.41555376724865,ok,NA
165,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-25.716670659143855,125.49999846869389,ok,NA
166,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-25.247227329824295,125.54999282574879,ok,NA
167,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-25.65000566321246,125.5499936490833,ok,NA
168,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-25.05000248417204,125.58332539322357,ok,NA
169,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-27.100003909878268,125.61666569537789,ok,NA
170,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-26.8500071057902,125.6666570788952,ok,NA
171,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-26.8500071057902,125.6666570788952,ok,NA
172,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-26.60000359388658,125.86666517263507,ok,NA
173,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-25.772228340572386,125.93054814769393,ok,NA
174,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-26.783336069980294,125.94999782674233,ok,NA
175,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-26.050008780811122,125.96666280727479,ok,NA
176,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-26.516670009519153,126.01666007319861,ok,NA
177,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-26.516670009519153,126.01666007319861,ok,NA
178,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-28.30000836453808,126.08332714181746,ok,NA
179,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-25.75000436932494,126.19999008634227,ok,NA
180,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-27.00000124550322,126.29165677112783,ok,NA
181,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-27.050003408329328,126.36665913208772,ok,NA
182,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-26.833334655980345,126.3666631663169,ok,NA
183,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-26.831950495181164,126.38055490359483,ok,NA
184,unknown,NA,Rat Midden Distn MasterList6.xls,L_Middens,NA,NA,NA,NA,NA,-27.06666723691628,126.41666396185445,ok,NA
