Identifier,Species,LONG,LAT
12624,Leporillus sp.,125.3,-25.6
12711,Leporillus sp.,125.3,-31
12628,Leporillus sp.,125.4,-27
12598,Leporillus sp.,125.5,-25.7
12625,Leporillus sp.,125.5,-25.2
12593,Leporillus sp.,125.5,-25.7
12673,Leporillus sp.,125.6,-25.1
12649,Leporillus sp.,125.6,-27.1
12629,Leporillus sp.,125.7,-26.9
12651,Leporillus sp.,125.7,-26.9
12595,Leporillus sp.,125.9,-26.6
12626,Leporillus sp.,125.9,-25.8
12681,Leporillus sp.,125.9,-26.8
12704,Leporillus sp.,126,-26.1
12596,Leporillus sp.,126,-26.5
12631,Leporillus sp.,126,-26.5
12650,Leporillus sp.,126.1,-28.3
12627,Leporillus sp.,126.2,-25.8
12632,Leporillus sp.,126.3,-27
12635,Leporillus sp.,126.4,-27.1
12597,Leporillus sp.,126.4,-26.8
12633,Leporillus sp.,126.4,-26.8
12648,Leporillus sp.,126.4,-27.1
12647,Leporillus sp.,126.4,-27.2
12636,Leporillus sp.,126.4,-26.8
12637,Leporillus sp.,126.5,-26.7
12634,Leporillus sp.,126.5,-27.2
12682,Leporillus sp.,126.5,-26.6
12630,Leporillus sp.,127.4,-25.8
12734,Leporillus sp.,127.4,-26.2
CAA04,Leporillus sp.,127.9,-26.2
12680,Leporillus sp.,129,-28.8
12602,Leporillus sp.,129.2,-28.9
12591,Leporillus sp.,129.4,-25.9
12605,Leporillus sp.,130,-31.4
12730,Leporillus sp.,130.4,-26.5
12606,Leporillus sp.,130.7,-31.3
12668,Leporillus sp.,130.7,-31.3
12669,Leporillus sp.,130.7,-31.2
12667,Leporillus sp.,130.9,-31.4
12672,Leporillus sp.,131,-31.2
12670,Leporillus sp.,131,-31.2
12665,Leporillus sp.,131.1,-31.3
12666,Leporillus sp.,131.4,-31
12671,Leporillus sp.,131.4,-31
Berry (1993),Leporillus sp.,131.7,-24.3
Berry (1993),Leporillus sp.,131.7,-24.3
FinkeA22,Leporillus sp.,132.2,-24.4
FinkeF4,Leporillus sp.,132.2,-24.4
FinkeG15,Leporillus sp.,132.2,-24.4
FinkeH19,Leporillus sp.,132.2,-24.4
FinkeI16,Leporillus sp.,132.2,-24.4
12600,Leporillus sp.,132.4,-27
"Nelson et al (1990) ,",Leporillus sp.,133,-24
"Nelson et al (1990) ,",Leporillus sp.,133,-24
12570,Leporillus sp.,133.2,-26.6
12617,Leporillus sp.,133.3,-26.6
12616,Leporillus sp.,133.4,-27
GRD12,Leporillus sp.,133.5,-27
12618,Leporillus sp.,133.5,-27
12620,Leporillus sp.,133.7,-27
12619,Leporillus sp.,133.8,-26
12588,Leporillus sp.,133.9,-25.8
12638,Leporillus sp.,133.9,-25.9
12639,Leporillus sp.,133.9,-25.9
12640,Leporillus sp.,134.1,-26
12697,Leporillus sp.,134.1,-28.2
12610,Leporillus sp.,134.2,-28
12609,Leporillus sp.,134.2,-28
USA127,Leporillus sp.,134.2,-25.8
USA131,Leporillus sp.,134.2,-25.8
USA16,Leporillus sp.,134.2,-25.8
USA22,Leporillus sp.,134.2,-25.8
USB10,Leporillus sp.,134.2,-25.8
USB10,Leporillus sp.,134.2,-25.8
USB11,Leporillus sp.,134.2,-25.8
USB13,Leporillus sp.,134.2,-25.8
USC191,Leporillus sp.,134.2,-25.8
USC31,Leporillus sp.,134.2,-25.8
USC39,Leporillus sp.,134.2,-25.8
USC89,Leporillus sp.,134.2,-25.8
USC99,Leporillus sp.,134.2,-25.8
USE72,Leporillus sp.,134.2,-25.8
USF06,Leporillus sp.,134.2,-25.8
USG22,Leporillus sp.,134.2,-25.8
USI76,Leporillus sp.,134.2,-25.8
USJ7,Leporillus sp.,134.2,-25.8
USK14,Leporillus sp.,134.2,-25.8
USL7,Leporillus sp.,134.2,-25.8
USM40,Leporillus sp.,134.2,-25.8
USN104,Leporillus sp.,134.2,-25.8
USN138,Leporillus sp.,134.2,-25.8
USN160,Leporillus sp.,134.2,-25.8
USN279,Leporillus sp.,134.2,-25.8
USN363,Leporillus sp.,134.2,-25.8
12599,Leporillus sp.,134.2,-28.2
12603,Leporillus sp.,134.2,-28.2
12732,Leporillus sp.,134.2,-26.2
12613,Leporillus sp.,134.3,-27.9
12612,Leporillus sp.,134.3,-27.9
12698,Leporillus sp.,134.3,-28.2
12701,Leporillus sp.,134.3,-28.2
12611,Leporillus sp.,134.3,-27.9
CHA14,Leporillus sp.,134.3,-27.9
CHA42,Leporillus sp.,134.3,-27.9
CHB15,Leporillus sp.,134.3,-27.9
CHB41,Leporillus sp.,134.3,-27.9
CHC119,Leporillus sp.,134.3,-27.9
CHC22,Leporillus sp.,134.3,-27.9
CHC24,Leporillus sp.,134.3,-27.9
CHC42,Leporillus sp.,134.3,-27.9
CHD17,Leporillus sp.,134.3,-27.9
CHD18,Leporillus sp.,134.3,-27.9
12608,Leporillus sp.,134.3,-28
12707,Leporillus sp.,134.3,-28.5
CRA9,Leporillus sp.,134.5,-23.5
107232,Leporillus sp.,134.5,-27.4
12601,Leporillus sp.,134.6,-28.8
12615,Leporillus sp.,134.6,-27.7
12614,Leporillus sp.,134.6,-27.9
ARLT01,Leporillus sp.,134.7,-23.4
ARLTG8,Leporillus sp.,134.7,-23.4
ARLTH10,Leporillus sp.,134.7,-23.4
ARLTK2,Leporillus sp.,134.7,-23.4
ARLTN15,Leporillus sp.,134.7,-23.4
ARLTP5,Leporillus sp.,134.7,-23.4
12702,Leporillus sp.,134.7,-29.4
12586,Leporillus sp.,135.2,-25.9
12587,Leporillus sp.,135.2,-25.9
12664,Leporillus sp.,135.4,-26.2
378,Leporillus sp.,135.7,-32.4
12709,Leporillus sp.,135.8,-34.6
12706,Leporillus sp.,136,-27.7
12607,Leporillus sp.,136.3,-31.2
12872,Leporillus sp.,137.1,-33.2
12686,Leporillus sp.,137.2,-33
12685,Leporillus sp.,137.2,-33
12687,Leporillus sp.,137.2,-33.1
12705,Leporillus sp.,137.4,-32.8
12653,Leporillus sp.,137.5,-29.5
12675,Leporillus sp.,138.1,-32.1
12652,Leporillus sp.,138.4,-30.6
BR1 (base),Leporillus sp.,138.6,-31.4
BR1 (base),Leporillus sp.,138.6,-31.4
BR1 (top),Leporillus sp.,138.6,-31.4
