specificEpithet,Latitude,Longitude,time_bp,basisOfRecord,individualCount,sex,preparations,year,country,stateProvince,locality,verbatimLocality,geodeticDatum
conditor,-34.18,142.15,-93,PRESERVED_SPECIMEN,1,FEMALE,Dry | Mount,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
conditor,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Mount,1857,Australia,Victoria,Murray and Darling Rivers junction area,Murray and Darling Rivers junction area,EPSG:4326
conditor,-34.18,142.15,-93,PRESERVED_SPECIMEN,1,MALE,Dry | Mount,1857,Australia,Victoria,Murray and Darling Rivers junction,Murray and Darling Rivers junction,EPSG:4326
conditor,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Mount,1857,Australia,Victoria,Murray and Darling Rivers junction area,Murray and Darling Rivers junction area,EPSG:4326
conditor,-34.12,141.92,-93,PRESERVED_SPECIMEN,1,,Dry | Skin,1857,Australia,Victoria,Murray and Darling Rivers junction area,Murray and Darling Rivers junction area,EPSG:4326
conditor,-28.5,137,-43,PRESERVED_SPECIMEN,,,W,1907,Australia,South Australia,,Lake Eyre | Immediate vicinity of western shore of Lake Eyre,EPSG:4326
conditor,-28.5,137,-43,PRESERVED_SPECIMEN,,,W,1907,Australia,South Australia,,Lake Eyre | Immediate vicinity of western shore of Lake Eyre,EPSG:4326
conditor,-28.5,137,-43,PRESERVED_SPECIMEN,,,CW,1907,Australia,South Australia,,Lake Eyre | Immediate vicinity of western shore of Lake Eyre,EPSG:4326
conditor,-28.5,137,-43,PRESERVED_SPECIMEN,,,CW,1907,Australia,South Australia,,Lake Eyre | Immediate vicinity of western shore of Lake Eyre,EPSG:4326
conditor,-28.5,137,-43,PRESERVED_SPECIMEN,,,W,1907,Australia,South Australia,,Lake Eyre | Immediate vicinity of western shore of Lake Eyre,EPSG:4326
conditor,-28.5,137,-43,PRESERVED_SPECIMEN,,,W,1907,Australia,South Australia,,Lake Eyre | Immediate vicinity of western shore of Lake Eyre,EPSG:4326
conditor,-28.5,137,-43,PRESERVED_SPECIMEN,,,CW,1907,Australia,South Australia,,Lake Eyre | Immediate vicinity of western shore of Lake Eyre,EPSG:4326
conditor,-28.5,137,-43,PRESERVED_SPECIMEN,,,W,1907,Australia,South Australia,,Lake Eyre | Immediate vicinity of western shore of Lake Eyre,EPSG:4326
conditor,-30.58345,131.25,-26,HUMAN_OBSERVATION,,,,1924,Australia,South Australia,Nullarbor (RR),Nullarbor (RR),EPSG:4326
conditor,-33.95012,141.95,-93,HUMAN_OBSERVATION,,,,1857,Australia,New South Wales,,,EPSG:4326
conditor,-33.95012,141.95,-93,HUMAN_OBSERVATION,,,,1857,Australia,New South Wales,,,EPSG:4326
conditor,-30.46678,131.66668,-28,HUMAN_OBSERVATION,,,,1922,Australia,South Australia,,,EPSG:4326
conditor,-32.66679,142.33333,-106,HUMAN_OBSERVATION,,,,1844,Australia,New South Wales,,,EPSG:4326
conditor,-30.25011,131.25,-29,HUMAN_OBSERVATION,,,,1921,Australia,South Australia,,,EPSG:4326
conditor,-30.58345,131.25,-20,HUMAN_OBSERVATION,,,,1930,Australia,South Australia,Nullarbor (RR),Nullarbor (RR),EPSG:4326
conditor,-28.5001,137,-43,HUMAN_OBSERVATION,,,,1907,Australia,South Australia,Kati Thanda-Lake Eyre (NP),Kati Thanda-Lake Eyre (NP),EPSG:4326
